ISBN,Sale,Score,Price
9798964963999,,,
9791197634116,"1,278",10.0,"14,400"
9791197634109,"5,232",9.5,"13,500"
9791197603600,48,9.8,"16,200"
9791197578410,"40,011",9.8,"12,600"
9791197578007,528,9.6,"16,200"
9791197572111,"1,083",9.5,"14,220"
9791197550904,312,9.5,"14,400"
9791197549304,"4,266",8.3,"16,650"
9791197522901,"1,092",9.2,"16,200"
9791197519628,"1,734",9.5,"15,120"
9791197519000,120,10.0,"11,700"
9791197516511,294,9.4,"16,200"
9791197516504,612,9.4,"15,300"
9791197510656,720,9.7,"14,220"
9791197510601,"1,338",9.4,"15,300"
9791197504136,"10,077",9.5,"13,500"
9791197494208,"3,786",9.7,"11,700"
9791197488900,444,9.6,"18,000"
9791197488207,744,9.6,"16,200"
9791197472510,,,
9791197470417,60,9.6,"15,120"
9791197459702,90,8.8,"13,500"
9791197455407,,9.8,"11,520"
9791197453304,"3,720",10.0,"11,700"
9791197450112,600,10.0,"11,400"
9791197438714,"2,991",9.2,"15,750"
9791197438707,"4,800",9.8,"16,650"
9791197437311,"128,295",9.6,"16,650"
9791197437304,"105,960",9.6,"16,650"
9791197434907,"1,014",9.5,"15,300"
9791197426377,"4,413",9.6,"21,420"
9791197419102,"13,677",9.7,"13,500"
9791197413025,"78,021",9.1,"19,800"
9791197412318,,9.1,"15,300"
9791197412301,264,9.7,"16,200"
9791197410307,"4,881",9.4,"14,400"
9791197402739,600,9.8,"10,080"
9791197402715,"1,116",10.0,"10,080"
9791197393204,"2,766",9.5,"13,500"
9791197389405,"12,804",9.0,"18,000"
9791197381706,"2,418",9.2,"11,520"
9791197377129,"1,692",8.7,"14,220"
9791197376603,60,9.7,"11,700"
9791197360404,528,9.2,"14,400"
9791197358135,288,10.0,"11,870"
9791197346576,"1,548",8.2,"13,500"
9791197345708,"1,140",9.6,"16,200"
9791197341311,"9,624",8.7,"20,700"
9791197340819,168,9.8,"10,800"
9791197338243,426,9.3,"15,120"
9791197333712,960,9.2,"13,320"
9791197329517,528,9.7,"14,400"
9791197325809,"10,746",9.5,"19,800"
9791197325052,372,9.4,"14,400"
9791197322105,"2,688",9.2,"14,400"
9791197321610,336,9.9,"12,600"
9791197320446,396,8.6,"15,300"
9791197320439,630,9.0,"13,500"
9791197317385,126,10.0,"14,400"
9791197304903,444,8.7,"16,200"
9791197303418,120,9.8,"11,700"
9791197303401,138,10.0,"11,700"
9791197297632,150,9.5,"14,400"
9791197296918,96,10.0,"13,500"
9791197293467,"2,814",9.3,"14,400"
9791197258268,"1,824",10.0,"14,220"
9791197258220,42,9.3,"14,400"
9791197251412,"7,140",9.1,"15,120"
9791197244025,882,9.8,"10,800"
9791197242311,,,
9791197237218,408,9.7,"14,400"
9791197237201,150,9.8,"13,500"
9791197228599,72,8.0,"16,150"
9791197228506,408,,"14,250"
9791197227592,330,9.7,"15,120"
9791197227547,684,9.7,"13,950"
9791197226199,"12,228",9.8,"9,900"
